1	1000	0	0	0	-0.1945	0.1945	34135.75	0.0836053051871398	0	8019412
2	1000	0	0	1	-0.9235	0.9235	39599.75	0.0150375939849624	0	15280980
3	1000	0	0	0	0.0335000000000001	0.0335000000000001	33339.65625	0.0648404487833309	0	8311579
4	1000	0	0	0	-0.293	0.293	33411.125	0.0773955773955774	0	7254607
5	1000	0	0	0	-0.0135	0.0135	39411.25	0.0231388329979879	0	10761649
6	1000	0	0	0	0.0149999999999999	0.0149999999999999	33854.8125	0.0731414868105516	0	7233448
7	1000	0	0	0	-0.3605	0.3605	32901.25	0.062051623400636	0	7786648
8	1000	0	0	0	-0.3075	0.3075	31911.40625	0.0821690204667321	0	7218301
9	1000	0	0	0	-0.8125	0.8125	37890.6875	0.0418502202643172	0	13513098
10	1000	0	0	0	-0.00449999999999995	0.00449999999999995	33878.78125	0.0835460992907801	0	8265209
11	1000	0	0	1	-0.9665	0.9665	39856.5	0.0075	0	19476146
12	1000	0	0	0	-0.422	0.422	32416.28125	0.0886715867158672	0	7962494
13	1000	0	0	0	0.4525	0.4525	34185.9375	0.0843411615806497	0	8473905
14	1000	0	0	0	-0.111	0.111	33781.6875	0.0986786617936463	0	9458370
15	1000	0	0	0	-0.2655	0.2655	34917.375	0.0710063238933187	0	7786793
16	1000	0	0	0	0.4885	0.4885	34225.8125	0.0655528812119496	0	7352778
17	1000	0	0	1	-0.992	0.992	40000	0	0	20942201
18	1000	0	0	0	-0.245	0.245	35719.25	0.0652939582768897	0	8879598
19	1000	0	0	0	-0.3035	0.3035	36444.25	0.0591605596269154	0	9326804
20	1000	0	0	0	0.328	0.328	34722.46875	0.0825852782764812	0	11323195
21	1000	0	0	0	-0.909	0.909	38061.5	0.038996138996139	0	17160603
22	1000	0	0	0	-0.0215	0.0215	33566.28125	0.0916382737081204	0	9116520
23	1000	0	0	1	-0.949	0.949	39796.5	0.00902255639097744	0	17733912
24	1000	0	0	0	0.493	0.493	34294.75	0.0925848345203184	0	8683952
25	1000	0	0	0	0.0565	0.0565	35585.28125	0.0580132989550821	0	10604740
26	1000	0	0	0	-0.548	0.548	37076.6875	0.0440243257535695	0	13447287
27	1000	0	0	0	0.399	0.399	34794.1875	0.0720244716351502	0	7421719
28	1000	0	0	0	-0.3715	0.3715	32466.21875	0.0896977219626168	0	8060639
29	1000	0	0	0	-0.3915	0.3915	38952.75	0.02113572701808	0	8655325
30	1000	0	0	0	-0.2625	0.2625	34803.96875	0.0780728587319244	0	8634039
31	1000	0	0	0	-0.286	0.286	34064.5625	0.0499892726882643	0	8501900
32	1000	0	0	0	-0.3535	0.3535	31574.921875	0.0810892816506106	0	7861981
33	1000	0	0	1	-0.942	0.942	39558	0.0153266331658291	0	14688609
34	1000	0	0	0	-0.3135	0.3135	32451	0.0756018900472512	0	6854567
35	1000	0	0	0	-0.1185	0.1185	36020.375	0.0566216216216216	0	13032867
36	1000	0	0	0	-0.00949999999999995	0.00949999999999995	33685.21875	0.0835068571838874	0	8683442
37	1000	0	0	0	0.267	0.267	35262.1875	0.0598901098901099	0	8966107
38	1000	0	0	0	-0.346	0.346	40000	0	0	8692346
39	1000	0	0	0	-0.3845	0.3845	32378.375	0.09064501713094	0	8190028
40	1000	0	0	0	0.2005	0.2005	32977	0.0842667838055495	0	8637155
41	1000	0	0	0	-0.298	0.298	31515.390625	0.0878290728729493	0	5171199
42	1000	0	0	0	-0.332	0.332	32096.09375	0.0843190891616147	0	7756424
43	1000	0	0	0	-0.268	0.268	40000	0	0	7254952
44	1000	0	0	0	-0.0295	0.0295	34519.34375	0.0704185916281674	0	8150912
45	1000	0	0	0	0.4125	0.4125	34809.8125	0.0792649289753137	0	8626047
46	1000	0	0	0	0.1205	0.1205	35045.21875	0.0716360116166505	0	7159903
47	1000	0	0	0	0.197	0.197	33913.21875	0.041283084004603	0	8614501
48	1000	0	0	0	-0.332	0.332	35231.625	0.0381562456482384	0	8846118
49	1000	0	0	0	0.4735	0.4735	34437.96875	0.0762545556490048	0	8920560
50	1000	0	0	1	-0.919	0.919	39115.125	0.0287878787878788	0	17703675
51	1000	0	0	0	-0.285	0.285	31432.515625	0.0831440254429805	0	6807573
52	1000	0	0	0	-0.372	0.372	32786.5625	0.0579547997314836	0	10122676
53	1000	0	0	0	-0.199	0.199	32556.5	0.0657982631930528	0	8395764
54	1000	0	0	0	-0.1825	0.1825	34495.84375	0.0982044198895028	0	6677729
55	1000	0	0	0	-0.078	0.078	34312.34375	0.0595891374700999	0	6608854
56	1000	0	0	1	-0.978	0.978	39868.5	0.008	0	17403492
57	1000	0	0	0	-0.39	0.39	35013.703125	0.0679295031917846	0	9768585
58	1000	0	0	1	-0.974	0.974	39862.25	0.0095	0	15175301
59	1000	0	0	0	0.201	0.201	35043.0625	0.0813068876511344	0	7574563
60	1000	0	0	0	0.1585	0.1585	35959.4375	0.0609756097560976	0	13351037
61	1000	0	0	0	0.3725	0.3725	33853.96875	0.0951686352639818	0	7776353
62	1000	0	0	0	-0.3375	0.3375	32603.40625	0.0876038526578928	0	9370326
63	1000	0	0	0	-0.3965	0.3965	40000	0	0	6057825
64	1000	0	0	0	0.0669999999999999	0.0669999999999999	33478.5	0.0763719730620433	0	6597248
65	1000	0	0	0	-0.3985	0.3985	32121.328125	0.0685189368270462	0	8317922
66	1000	0	0	0	-0.18	0.18	33987.28125	0.0976898154669672	0	8036997
67	1000	0	0	1	-0.9825	0.9825	39934	0.006	0	20690695
68	1000	0	0	0	0.3085	0.3085	34968.4375	0.0736761851954533	0	6961199
69	1000	0	0	0	-0.38	0.38	39803.5	0.00951427140711067	0	7106144
70	1000	0	0	0	0.279	0.279	34552.9375	0.0515811665495432	0	9264463
71	1000	0	0	0	0.0489999999999999	0.0489999999999999	36171.625	0.0744836775483011	0	8305774
72	1000	0	0	0	-0.012	0.012	39904.25	0.00500250125062531	0	9037991
73	1000	0	0	0	-0.4305	0.4305	39647	0.0085427135678392	0	10164744
74	1000	0	0	1	-0.949	0.949	39416.625	0.0222809667673716	0	13193810
75	1000	0	0	0	-0.455	0.455	37567.625	0.0513188822146775	0	7355257
76	1000	0	0	0	-0.479	0.479	33677.25	0.0573564292388414	0	8490453
77	1000	0	0	0	-0.3995	0.3995	33136.09375	0.0813515081206496	0	7583471
78	1000	0	0	1	-0.979	0.979	39964	0.004	0	15979889
79	1000	0	0	0	0.4515	0.4515	34228.53125	0.084612676056338	0	10068825
80	1000	0	0	0	-0.1795	0.1795	35519.28125	0.0631041524846835	0	8119227
81	1000	0	0	0	-0.2975	0.2975	31550.671875	0.0983998803648871	0	7262442
82	1000	0	0	0	0.223	0.223	33564.28125	0.0824152239233081	0	5378226
83	1000	0	0	0	-0.1595	0.1595	34525.1875	0.0878730953871843	0	7231779
84	1000	0	0	0	-0.497	0.497	33529.625	0.0775768926024634	0	7685318
85	1000	0	0	0	-0.2805	0.2805	31297.875	0.0756383553189848	0	8407604
86	1000	0	0	0	-0.2855	0.2855	31617.9375	0.0746428298571319	0	7531726
87	1000	0	0	0	-0.2575	0.2575	31351.21875	0.0775407203487038	0	9133613
88	1000	0	0	0	-0.087	0.087	35757.875	0.0678844056706652	0	9544257
89	1000	0	0	0	0.3195	0.3195	34210.0625	0.0685677894140957	0	10208607
90	1000	0	0	0	-0.2895	0.2895	33680.34375	0.0946796338672769	0	8497333
91	1000	0	0	0	-0.41	0.41	39761	0.0075187969924812	0	5449979
92	1000	0	0	1	-0.981	0.981	39988	0.0045	0	16109197
93	1000	0	0	0	-0.349	0.349	39940	0.003	0	7894439
94	1000	0	0	0	0.6415	0.6415	34078.8125	0.0813410666289433	0	8272249
95	1000	0	0	0	0.1075	0.1075	35200.5625	0.062328202308961	0	6108522
96	1000	0	0	0	-0.3725	0.3725	35432.125	0.0487232574189096	0	8723768
97	1000	0	0	0	-0.408	0.408	36777.5	0.0525026483050847	0	9049724
98	1000	0	0	0	-0.487	0.487	35705.375	0.0473287671232877	0	8906760
99	1000	0	0	0	0.016	0.016	34786.015625	0.0611548373615658	0	7043336
100	1000	0	0	0	-0.3595	0.3595	35487.65625	0.0755939524838013	0	7270671
