0	1000	0.5	0.1	0	1	2	2000	1000	1721	2180	1734	1556	1425	2028	2448	1055	171	76	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	4	2000	1000	1751	846	75	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	6	2000	1000	1765	2456	1373	798	316	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	8	2000	1000	1732	1566	1313	876	312	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	10	2000	1000	1721	2093	2976	1371	571	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	12	2000	1000	1772	1566	1616	2428	1200	384	182	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	14	2000	1000	1755	809	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	16	2000	1000	1762	1944	2062	2184	2370	1047	147	58	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	18	2000	1000	1748	1691	2230	1715	1336	1321	924	341	50	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	20	2000	1000	1765	2237	1302	1484	1480	1252	880	302	23	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	22	2000	1000	1765	940	168	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	24	2000	1000	1720	1594	1005	419	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	26	2000	1000	1782	1344	827	291	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	28	2000	1000	1715	1577	1105	596	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	30	2000	1000	1730	754	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	32	2000	1000	1760	1296	763	387	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	34	2000	1000	1761	830	55	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	36	2000	1000	1760	1895	2618	1161	304	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	38	2000	1000	1751	1216	652	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	40	2000	1000	1748	934	168	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	42	2000	1000	1750	944	196	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	44	2000	1000	1739	1025	278	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	46	2000	1000	1747	767	98	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	48	2000	1000	1725	781	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	50	2000	1000	1745	1893	1945	2093	2656	1224	367	165	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	52	2000	1000	1707	1700	1193	707	222	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	54	2000	1000	1746	1835	1967	2606	1192	335	149	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	56	2000	1000	1741	1121	467	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	58	2000	1000	1753	855	100	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	60	2000	1000	1740	787	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	62	2000	1000	1743	887	130	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	64	2000	1000	1750	2154	2877	1349	399	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	66	2000	1000	1754	1775	2382	1149	286	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	68	2000	1000	1755	2280	2091	1574	1409	1196	801	259	8	0	0	0	0	0	0	0	0	0	0	0
0	1000	0.5	0.1	0	1	70	2000	1000	1766	1119	456	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
