1	1000	0.7	0	0	1	2	2000	1000	32	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	4	2000	1000	20	33	12	12	12	12	41	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	6	2000	1000	25	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	8	2000	1000	19	12	12	12	12	100	12	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	10	2000	1000	34	12	12	12	71	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	12	2000	1000	21	12	12	100	12	12	12	12	12	12	12	100	12	12	12	12	12	0	0	0
1	1000	0.7	0	0	1	14	2000	1000	21	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	16	2000	1000	23	40	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	18	2000	1000	21	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	20	2000	1000	20	30	12	12	12	83	12	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	22	2000	1000	15	100	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	24	2000	1000	25	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	26	2000	1000	26	12	76	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	28	2000	1000	30	12	12	83	12	12	12	31	52	12	12	12	12	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	30	2000	1000	22	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	32	2000	1000	18	12	38	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	0	34	2000	1000	26	12	29	12	27	100	12	12	12	13	100	12	12	12	22	13	66	12	12	12
1	1000	0.7	0	0	1	36	2000	1000	18	62	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	38	2000	1000	23	12	12	22	90	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	40	2000	1000	22	12	12	12	12	12	33	13	62	12	12	12	12	12	0	0	0	0	0	0
1	1000	0.7	0	0	1	42	2000	1000	24	18	21	12	100	12	12	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	44	2000	1000	18	76	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	0	46	2000	1000	24	12	12	12	100	12	12	12	12	12	12	52	12	12	12	12	100	12	12	12
1	1000	0.7	0	0	0	48	2000	1000	25	12	12	12	13	90	12	12	12	55	12	12	12	12	12	100	12	12	12	12
1	1000	0.7	0	0	1	50	2000	1000	17	83	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	52	2000	1000	20	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	0	54	2000	1000	27	12	34	12	12	12	12	16	100	12	12	12	100	12	12	12	90	12	12	12
1	1000	0.7	0	0	1	56	2000	1000	25	20	14	27	13	71	12	12	12	12	12	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	58	2000	1000	23	12	12	66	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	60	2000	1000	24	12	12	12	100	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	62	2000	1000	21	47	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	64	2000	1000	21	14	55	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	66	2000	1000	23	12	12	32	12	12	100	12	12	12	21	90	12	12	12	12	12	0	0	0
1	1000	0.7	0	0	1	68	2000	1000	20	62	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	70	2000	1000	24	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	72	2000	1000	20	50	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	74	2000	1000	25	12	50	12	12	66	12	12	12	12	12	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	76	2000	1000	28	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	78	2000	1000	25	12	38	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	80	2000	1000	26	12	12	100	12	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	82	2000	1000	19	55	12	12	83	12	12	12	12	12	76	12	12	12	12	12	12	0	0	0
1	1000	0.7	0	0	1	84	2000	1000	22	43	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	86	2000	1000	21	27	12	12	12	90	12	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	88	2000	1000	26	12	83	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	90	2000	1000	22	12	12	12	41	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	92	2000	1000	28	12	27	12	12	12	58	12	12	12	12	12	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	94	2000	1000	21	43	12	90	12	12	12	12	12	12	12	12	12	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	96	2000	1000	25	12	71	12	12	12	13	100	12	12	12	12	12	12	12	12	12	0	0	0
1	1000	0.7	0	0	1	98	2000	1000	23	12	12	37	12	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0
1	1000	0.7	0	0	1	100	2000	1000	17	76	12	12	12	58	12	12	12	12	12	0	0	0	0	0	0	0	0	0
