1	1000	0.5	0	0	1	2	2000	1000	1718	783	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	4	2000	1000	1751	1895	1996	2010	2206	1800	1783	2317	1211	296	107	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	6	2000	1000	1724	1054	365	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	8	2000	1000	1749	937	155	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	10	2000	1000	1757	1121	465	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	12	2000	1000	1752	1280	769	255	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	14	2000	1000	1713	1508	1250	906	357	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	16	2000	1000	1726	1801	1763	1604	1364	1067	513	75	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	18	2000	1000	1747	779	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	20	2000	1000	1757	1720	2612	1258	855	449	29	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	22	2000	1000	1732	1641	2050	2201	1742	2494	1260	455	209	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	24	2000	1000	1735	1380	990	475	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	26	2000	1000	1718	777	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	28	2000	1000	1721	1087	324	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	30	2000	1000	1743	1659	1361	1082	1113	761	172	1	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	32	2000	1000	1758	1069	387	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	34	2000	1000	1773	793	145	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	36	2000	1000	1739	1313	854	312	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	38	2000	1000	1735	1250	734	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	40	2000	1000	1771	783	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	42	2000	1000	1748	830	50	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	44	2000	1000	1737	762	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	46	2000	1000	1729	1792	1752	1800	1866	1991	2226	1516	1163	802	259	18	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	48	2000	1000	1742	2137	2408	978	119	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	50	2000	1000	1732	924	166	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	52	2000	1000	1738	791	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1000	0.5	0	0	1	54	2000	1000	1740	1509	1719	1665	1952	2222	1580	1126	696	167	0	0	0	0	0	0	0	0	0	0
