1	1	1000	0.5	0	0	1	-0.8395	0.8395	39130.75	0.0334675390035229	0	7794	7
2	1	1000	0.5	0	0	1	-0.9895	0.9895	39086.5	0.0182741116751269	0	5478	4
3	1	1000	0.5	0	0	1	-0.961	0.961	39982	0.003	0	7147	6
4	1	1000	0.5	0	0	1	-0.9465	0.9465	39994	0.001	0	7694	12
5	1	1000	0.5	0	0	1	-0.91	0.91	39779.25	0.0075187969924812	0	6335	5
6	1	1000	0.5	0	0	1	-0.9525	0.9525	39982	0.0015	0	6762	5
7	1	1000	0.5	0	0	1	-0.991	0.991	40000	0	0	7564	6
8	1	1000	0.5	0	0	1	-0.9805	0.9805	40000	0	0	7120	5
9	1	1000	0.5	0	0	1	-0.941	0.941	39922	0.00350175087543772	0	6604	5
10	1	1000	0.5	0	0	1	-0.932	0.932	39832.25	0.00800800800800801	0	6521	5
11	1	1000	0.5	0	0	1	-0.9255	0.9255	39464.25	0.0188536953242836	0	7216	7
12	1	1000	0.5	0	0	1	-0.8725	0.8725	39113.375	0.0252652854977261	0	5937	5
13	1	1000	0.5	0	0	1	-0.994	0.994	38934.5	0.0198070086338243	0	5401	4
14	1	1000	0.5	0	0	1	-0.9805	0.9805	40000	0	0	8227	7
15	1	1000	0.5	0	0	1	-0.9915	0.9915	39976	0.002	0	7738	6
16	1	1000	0.5	0	0	1	-0.9625	0.9625	39856.25	0.0080040020010005	0	8087	9
17	1	1000	0.5	0	0	1	-0.9365	0.9365	39844	0.00750375187593797	0	6372	5
18	1	1000	0.5	0	0	1	-0.989	0.989	39075.875	0.0207858048162231	0	5448	4
19	1	1000	0.5	0	0	1	-0.9335	0.9335	39630.75	0.022567703109328	0	7194	6
20	1	1000	0.5	0	0	1	-0.9855	0.9855	39958	0.003	0	8544	8
21	1	1000	0.5	0	0	1	-0.9265	0.9265	39536.75	0.0198692152917505	0	6770	6
22	1	1000	0.5	0	0	1	-0.8955	0.8955	39952.25	0.003	0	7706	10
23	1	1000	0.5	0	0	1	-0.9305	0.9305	39635	0.0155544405418966	0	6984	6
24	1	1000	0.5	0	0	1	-0.9615	0.9615	39958	0.003	0	7343	6
25	1	1000	0.5	0	0	1	-0.994	0.994	40000	0	0	7286	5
26	1	1000	0.5	0	0	1	-0.9825	0.9825	39051.25	0.0228252599543495	0	5465	4
27	1	1000	0.5	0	0	1	-0.9815	0.9815	39982	0.0015	0	7562	6
28	1	1000	0.5	0	0	1	-0.9715	0.9715	39994	0.001	0	6811	5
29	1	1000	0.5	0	0	1	-0.8555	0.8555	38579.875	0.0420275089149261	0	5681	5
30	1	1000	0.5	0	0	1	-0.914	0.914	39156.625	0.0252461499621308	0	8108	8
31	1	1000	0.5	0	0	1	-0.9905	0.9905	40000	0	0	7240	5
32	1	1000	0.5	0	0	1	-0.945	0.945	39994	0.001	0	6676	5
33	1	1000	0.5	0	0	1	-0.993	0.993	39029	0.0241607324516785	0	5450	4
34	1	1000	0.5	0	0	1	-0.967	0.967	40000	0	0	7223	5
35	1	1000	0.5	0	0	1	-0.94	0.94	39814.75	0.00826239359038558	0	7074	6
36	1	1000	0.5	0	0	1	-0.9885	0.9885	39982	0.0015	0	7759	6
37	1	1000	0.5	0	0	1	-0.9465	0.9465	39976.25	0.0025	0	9012	13
38	1	1000	0.5	0	0	1	-0.882	0.882	39244.25	0.0217281455280445	0	6045	5
39	1	1000	0.5	0	0	1	-0.98	0.98	40000	0	0	7078	5
40	1	1000	0.5	0	0	1	-0.9935	0.9935	39042.25	0.0225716459548567	0	5427	4
41	1	1000	0.5	0	0	1	-0.892	0.892	39964.25	0.0025	0	6672	5
42	1	1000	0.5	0	0	1	-0.975	0.975	38857.625	0.0274459974587039	0	5364	4
43	1	1000	0.5	0	0	1	-0.939	0.939	39677.75	0.0160240360540811	0	6280	5
44	1	1000	0.5	0	0	1	-0.619	0.619	38920	0.0366717248356095	0	3496	3
45	1	1000	0.5	0	0	1	-0.8745	0.8745	39874.25	0.0075	0	7481	10
46	1	1000	0.5	0	0	1	-0.991	0.991	40000	0	0	9538	13
47	1	1000	0.5	0	0	1	-0.62	0.62	37652.875	0.0375457875457875	0	3484	3
48	1	1000	0.5	0	0	1	-0.973	0.973	40000	0	0	7652	7
49	1	1000	0.5	0	0	1	-0.959	0.959	40000	0	0	6845	5
50	1	1000	0.5	0	0	1	-0.9855	0.9855	40000	0	0	7149	5
51	1	1000	0.5	0	0	1	-0.611	0.611	36997.375	0.0381002778145257	0	3460	3
52	1	1000	0.5	0	0	1	-0.9895	0.9895	38987.5	0.023568170299037	0	5448	4
53	1	1000	0.5	0	0	1	-0.9935	0.9935	39081	0.016497461928934	0	5462	4
54	1	1000	0.5	0	0	1	-0.9165	0.9165	39341.25	0.0326633165829146	0	8068	11
55	1	1000	0.5	0	0	1	-0.915	0.915	39970	0.002	0	7307	7
56	1	1000	0.5	0	0	1	-0.946	0.946	39988	0.001	0	7220	7
57	1	1000	0.5	0	0	1	-0.9615	0.9615	39904.25	0.00625312656328164	0	8338	9
58	1	1000	0.5	0	0	1	-0.94	0.94	40000	0	0	7407	8
59	1	1000	0.5	0	0	1	-0.9755	0.9755	40000	0	0	7513	6
60	1	1000	0.5	0	0	1	-0.9235	0.9235	40000	0	0	7351	8
61	1	1000	0.5	0	0	1	-0.6185	0.6185	40000	0	0	3483	3
62	1	1000	0.5	0	0	1	-0.962	0.962	39946	0.0035	0	8609	8
63	1	1000	0.5	0	0	1	-0.83	0.83	39171	0.0228940045535037	0	6976	7
64	1	1000	0.5	0	0	1	-0.9255	0.9255	39683.5	0.0135406218655968	0	7435	7
65	1	1000	0.5	0	0	1	-0.8665	0.8665	39182	0.0320383451059536	0	6011	5
66	1	1000	0.5	0	0	1	-0.9075	0.9075	39760.25	0.00801603206412826	0	6311	5
67	1	1000	0.5	0	0	1	-0.993	0.993	40000	0	0	8747	7
68	1	1000	0.5	0	0	1	-0.936	0.936	39821	0.00900450225112556	0	7982	8
69	1	1000	0.5	0	0	1	-0.938	0.938	39898	0.00550275137568784	0	6830	6
70	1	1000	0.5	0	0	1	-0.9105	0.9105	39524	0.0170682730923695	0	6871	6
71	1	1000	0.5	0	0	1	-0.921	0.921	39600.75	0.0138190954773869	0	8136	9
72	1	1000	0.5	0	0	1	-0.9355	0.9355	40000	0	0	7373	7
73	1	1000	0.5	0	0	1	-0.9715	0.9715	40000	0	0	8767	9
74	1	1000	0.5	0	0	1	-0.6175	0.6175	39970	0.0025	0	3482	3
75	1	1000	0.5	0	0	1	-0.8665	0.8665	39067.5	0.0273417721518987	0	7969	12
76	1	1000	0.5	0	0	1	-0.993	0.993	39012.25	0.0315816068721577	0	5439	4
77	1	1000	0.5	0	0	1	-0.8765	0.8765	38750.375	0.0363427697016067	0	6781	7
78	1	1000	0.5	0	0	1	-0.9695	0.9695	40000	0	0	6728	5
79	1	1000	0.5	0	0	1	-0.6185	0.6185	37321.9375	0.0392646093237032	0	3488	3
80	1	1000	0.5	0	0	1	-0.9845	0.9845	38965.625	0.0258751902587519	0	5387	4
81	1	1000	0.5	0	0	1	-0.9435	0.9435	39659.5	0.0125376128385155	0	9011	12
82	1	1000	0.5	0	0	1	-0.975	0.975	38881.625	0.0257062865869178	0	5377	4
83	1	1000	0.5	0	0	1	-0.989	0.989	39982	0.002	0	8144	9
84	1	1000	0.5	0	0	1	-0.993	0.993	40000	0	0	7355	5
85	1	1000	0.5	0	0	1	-0.9895	0.9895	40000	0	0	7286	5
86	1	1000	0.5	0	0	1	-0.995	0.995	39108	0.0217281455280445	0	5478	4
87	1	1000	0.5	0	0	1	-0.8945	0.8945	39204.5	0.0301113360323887	0	6655	6
88	1	1000	0.5	0	0	1	-0.8675	0.8675	39714.25	0.00951903807615231	0	7044	7
89	1	1000	0.5	0	0	1	-0.956	0.956	39553.75	0.0108203321590337	0	8479	10
90	1	1000	0.5	0	0	1	-0.966	0.966	39928	0.0045	0	7313	6
91	1	1000	0.5	0	0	1	-0.8825	0.8825	39892	0.00700350175087544	0	7386	8
92	1	1000	0.5	0	0	1	-0.9265	0.9265	39946.25	0.0055	0	6840	7
93	1	1000	0.5	0	0	1	-0.897	0.897	39988	0.001	0	7168	7
94	1	1000	0.5	0	0	1	-0.993	0.993	40000	0	0	7284	5
95	1	1000	0.5	0	0	1	-0.893	0.893	38928.125	0.0286947689182326	0	7523	9
96	1	1000	0.5	0	0	1	-0.993	0.993	40000	0	0	7335	5
97	1	1000	0.5	0	0	1	-0.9805	0.9805	38931	0.0233502538071066	0	5405	4
98	1	1000	0.5	0	0	1	-0.8975	0.8975	39528	0.0148278461925107	0	6199	5
99	1	1000	0.5	0	0	1	-0.8655	0.8655	39784.5	0.00651302605210421	0	9318	14
100	1	1000	0.5	0	0	1	-0.89	0.89	39192.125	0.0239415322580645	0	5949	5
